district_name,district_code
CENTRAL,162
CRIME BRANCH,175
DWARKA,176
EAST,168
EOW,956
IGI AIRPORT,169
METRO,160
NEW DELHI,165
NORTH,166
NORTH EAST,173
NORTH WEST,172
OUTER DISTRICT,174
OUTER NORTH,991
RAILWAYS,164
ROHINI,959
SHAHDARA,957
SOUTH,167
SOUTH WEST,171
SOUTH-EAST,955
SPECIAL CELL,954
SPECIAL POLICE UNIT FOR WOMEN & CHILDREN,953
VIGILANCE,161
WEST,170
